Identifier,value1,value2,value3,g,l,s,m,e
180.0,220,26,32,1,0,0,0,0
180.0,220,29,33,1,0,0,0,0
180.0,220,30,34,1,0,0,0,0
180.0,224,28,34,1,0,0,0,0
180.0,221,31,34,1,0,0,0,0
180.0,223,31,33,1,0,0,0,0
180.0,218,30,34,1,0,0,0,0
180.0,214,27,31,1,0,0,0,0
180.0,214,28,33,1,0,0,0,0
180.0,215,28,32,1,0,0,0,0
180.0,215,26,33,1,0,0,0,0
180.0,218,26,33,1,0,0,0,0
180.0,216,26,33,1,0,0,0,0
180.0,214,30,36,1,0,0,0,0
180.0,214,27,35,1,0,0,0,0
180.0,214,27,35,1,0,0,0,0
180.0,211,30,33,1,0,0,0,0
180.0,207,28,38,1,0,0,0,0
180.0,206,31,33,1,0,0,0,0
180.0,208,34,33,1,0,0,0,0
180.0,203,32,33,1,0,0,0,0
180.0,206,33,34,1,0,0,0,0
180.0,209,33,35,1,0,0,0,0
180.0,209,30,34,1,0,0,0,0
180.0,209,31,33,1,0,0,0,0
180.0,207,27,33,1,0,0,0,0
180.0,210,31,31,1,0,0,0,0
180.0,211,30,34,1,0,0,0,0
180.0,206,29,35,1,0,0,0,0
180.0,202,34,33,1,0,0,0,0
180.0,205,35,35,1,0,0,0,0
180.0,209,34,32,1,0,0,0,0
180.0,215,34,33,1,0,0,0,0
180.0,220,32,33,1,0,0,0,0
180.0,217,27,34,1,0,0,0,0
180.0,213,33,32,1,0,0,0,0
180.0,214,27,32,1,0,0,0,0
180.0,215,31,34,1,0,0,0,0
180.0,217,30,32,1,0,0,0,0
180.0,218,28,33,1,0,0,0,0
180.0,227,30,35,1,0,0,0,0
180.0,227,29,33,1,0,0,0,0
180.0,226,30,32,1,0,0,0,0
180.0,228,31,35,1,0,0,0,0
180.0,229,31,31,1,0,0,0,0
180.0,228,29,34,1,0,0,0,0
180.0,229,32,34,1,0,0,0,0
180.0,229,32,32,1,0,0,0,0
180.0,230,32,32,1,0,0,0,0
180.0,230,33,34,1,0,0,0,0
180.0,228,34,34,1,0,0,0,0
180.0,225,32,32,1,0,0,0,0
180.0,227,32,31,1,0,0,0,0
180.0,225,34,32,1,0,0,0,0
180.0,227,35,33,1,0,0,0,0
180.0,230,31,33,1,0,0,0,0
180.0,229,32,33,1,0,0,0,0
180.0,229,30,31,1,0,0,0,0
180.0,229,30,35,1,0,0,0,0
180.0,231,30,34,1,0,0,0,0
180.0,234,31,31,1,0,0,0,0
180.0,234,29,33,1,0,0,0,0
180.0,234,31,32,1,0,0,0,0
180.0,233,29,32,1,0,0,0,0
180.0,236,31,32,1,0,0,0,0
180.0,231,31,31,1,0,0,0,0
180.0,232,30,33,1,0,0,0,0
180.0,225,30,33,1,0,0,0,0
180.0,228,33,32,1,0,0,0,0
180.0,226,31,33,1,0,0,0,0
180.0,229,35,33,1,0,0,0,0
180.0,225,35,34,1,0,0,0,0
180.0,225,33,31,1,0,0,0,0
180.0,225,32,34,1,0,0,0,0
180.0,225,29,32,1,0,0,0,0
180.0,226,31,32,1,0,0,0,0
180.0,225,31,33,1,0,0,0,0
180.0,229,33,33,1,0,0,0,0
180.0,230,33,33,1,0,0,0,0
180.0,230,31,32,1,0,0,0,0
180.0,229,31,34,1,0,0,0,0
180.0,228,31,34,1,0,0,0,0
180.0,228,33,35,1,0,0,0,0
180.0,229,32,32,1,0,0,0,0
180.0,227,30,31,1,0,0,0,0
180.0,228,30,31,1,0,0,0,0
180.0,231,32,30,1,0,0,0,0
180.0,232,30,33,1,0,0,0,0
180.0,231,30,34,1,0,0,0,0
180.0,229,31,35,1,0,0,0,0
180.0,228,31,35,1,0,0,0,0
180.0,230,35,29,1,0,0,0,0
180.0,228,33,33,1,0,0,0,0
180.0,231,33,32,1,0,0,0,0
180.0,230,32,34,1,0,0,0,0
180.0,232,32,33,1,0,0,0,0
180.0,228,31,35,1,0,0,0,0
180.0,231,32,33,1,0,0,0,0
180.0,236,34,32,1,0,0,0,0
180.0,238,33,33,1,0,0,0,0
180.0,231,37,32,1,0,0,0,0
180.0,229,39,31,1,0,0,0,0
180.0,227,37,33,1,0,0,0,0
180.0,232,41,33,1,0,0,0,0
180.0,233,40,33,1,0,0,0,0
180.0,227,42,33,1,0,0,0,0
180.0,228,45,34,1,0,0,0,0
180.0,237,43,33,1,0,0,0,0
180.0,233,44,33,1,0,0,0,0
180.0,237,43,34,1,0,0,0,0
180.0,239,44,34,1,0,0,0,0
180.0,239,42,32,1,0,0,0,0
180.0,236,46,33,1,0,0,0,0
180.0,235,44,32,1,0,0,0,0
180.0,238,45,30,1,0,0,0,0
180.0,238,38,33,1,0,0,0,0
180.0,239,41,34,1,0,0,0,0
180.0,241,38,33,1,0,0,0,0
180.0,239,38,31,1,0,0,0,0
180.0,240,39,35,1,0,0,0,0
180.0,240,38,33,1,0,0,0,0
180.0,236,39,33,1,0,0,0,0
180.0,240,40,35,1,0,0,0,0
180.0,241,38,36,1,0,0,0,0
180.0,241,39,34,1,0,0,0,0
180.0,240,41,34,1,0,0,0,0
180.0,238,38,31,1,0,0,0,0
180.0,240,39,34,1,0,0,0,0
180.0,240,36,34,1,0,0,0,0
180.0,242,38,31,1,0,0,0,0
180.0,240,37,34,1,0,0,0,0
180.0,241,37,31,1,0,0,0,0
180.0,241,38,35,1,0,0,0,0
180.0,241,39,33,1,0,0,0,0
180.0,237,39,33,1,0,0,0,0
180.0,240,37,33,1,0,0,0,0
180.0,241,38,32,1,0,0,0,0
180.0,243,43,31,1,0,0,0,0
180.0,240,45,35,1,0,0,0,0
180.0,241,42,34,1,0,0,0,0
180.0,248,42,35,1,0,0,0,0
180.0,251,45,32,1,0,0,0,0
180.0,250,43,33,1,0,0,0,0
180.0,248,44,33,1,0,0,0,0
180.0,244,41,33,1,0,0,0,0
180.0,243,38,32,1,0,0,0,0
180.0,244,36,34,1,0,0,0,0
180.0,244,39,34,1,0,0,0,0
180.0,245,41,35,1,0,0,0,0
180.0,248,40,34,1,0,0,0,0
180.0,246,42,33,1,0,0,0,0
180.0,249,39,35,1,0,0,0,0
180.0,247,38,34,1,0,0,0,0
180.0,251,38,33,1,0,0,0,0
