Identifier,value1,value2,value3,g,l,s,m,e
0.9,0.026858747405689172,0.0031742156024905386,0.00390672689537297,1,0,0,0,0
0.9,0.026858747405689172,0.0035404712489317544,0.004028812110853376,1,0,0,0,0
0.9,0.026858747405689172,0.0036625564644121597,0.004150897326333781,1,0,0,0,0
0.9,0.027347088267610793,0.003418386033451349,0.004150897326333781,1,0,0,0,0
0.9,0.026980832621169577,0.003784641679892565,0.004150897326333781,1,0,0,0,0
0.9,0.027225003052130388,0.003784641679892565,0.004028812110853376,1,0,0,0,0
0.9,0.02661457697472836,0.0036625564644121597,0.004150897326333781,1,0,0,0,0
0.9,0.02612623611280674,0.003296300817970944,0.003784641679892565,1,0,0,0,0
0.9,0.02612623611280674,0.003418386033451349,0.004028812110853376,1,0,0,0,0
0.9,0.026248321328287146,0.003418386033451349,0.00390672689537297,1,0,0,0,0
0.9,0.026248321328287146,0.0031742156024905386,0.004028812110853376,1,0,0,0,0
0.9,0.02661457697472836,0.0031742156024905386,0.004028812110853376,1,0,0,0,0
0.9,0.02637040654376755,0.0031742156024905386,0.004028812110853376,1,0,0,0,0
0.9,0.02612623611280674,0.0036625564644121597,0.0043950677572945915,1,0,0,0,0
0.9,0.02612623611280674,0.003296300817970944,0.004272982541814186,1,0,0,0,0
0.9,0.02612623611280674,0.003296300817970944,0.004272982541814186,1,0,0,0,0
0.9,0.025759980466365524,0.0036625564644121597,0.004028812110853376,1,0,0,0,0
0.9,0.025271639604443903,0.003418386033451349,0.004639238188255402,1,0,0,0,0
0.9,0.025149554388963498,0.003784641679892565,0.004028812110853376,1,0,0,0,0
0.9,0.02539372481992431,0.004150897326333781,0.004028812110853376,1,0,0,0,0
0.9,0.024783298742522282,0.00390672689537297,0.004028812110853376,1,0,0,0,0
0.9,0.025149554388963498,0.004028812110853376,0.004150897326333781,1,0,0,0,0
0.9,0.025515810035404714,0.004028812110853376,0.004272982541814186,1,0,0,0,0
0.9,0.025515810035404714,0.0036625564644121597,0.004150897326333781,1,0,0,0,0
0.9,0.025515810035404714,0.003784641679892565,0.004028812110853376,1,0,0,0,0
0.9,0.025271639604443903,0.003296300817970944,0.004028812110853376,1,0,0,0,0
0.9,0.02563789525088512,0.003784641679892565,0.003784641679892565,1,0,0,0,0
0.9,0.025759980466365524,0.0036625564644121597,0.004150897326333781,1,0,0,0,0
0.9,0.025149554388963498,0.0035404712489317544,0.004272982541814186,1,0,0,0,0
0.9,0.024661213527041877,0.004150897326333781,0.004028812110853376,1,0,0,0,0
0.9,0.025027469173483093,0.004272982541814186,0.004272982541814186,1,0,0,0,0
0.9,0.025515810035404714,0.004150897326333781,0.00390672689537297,1,0,0,0,0
0.9,0.026248321328287146,0.004150897326333781,0.004028812110853376,1,0,0,0,0
0.9,0.026858747405689172,0.00390672689537297,0.004028812110853376,1,0,0,0,0
0.9,0.026492491759247956,0.003296300817970944,0.004150897326333781,1,0,0,0,0
0.9,0.026004150897326335,0.004028812110853376,0.00390672689537297,1,0,0,0,0
0.9,0.02612623611280674,0.003296300817970944,0.00390672689537297,1,0,0,0,0
0.9,0.026248321328287146,0.003784641679892565,0.004150897326333781,1,0,0,0,0
0.9,0.026492491759247956,0.0036625564644121597,0.00390672689537297,1,0,0,0,0
0.9,0.02661457697472836,0.003418386033451349,0.004028812110853376,1,0,0,0,0
0.9,0.02771334391405201,0.0036625564644121597,0.004272982541814186,1,0,0,0,0
0.9,0.02771334391405201,0.0035404712489317544,0.004028812110853376,1,0,0,0,0
0.9,0.027591258698571604,0.0036625564644121597,0.00390672689537297,1,0,0,0,0
0.9,0.027835429129532414,0.003784641679892565,0.004272982541814186,1,0,0,0,0
0.9,0.02795751434501282,0.003784641679892565,0.003784641679892565,1,0,0,0,0
0.9,0.027835429129532414,0.0035404712489317544,0.004150897326333781,1,0,0,0,0
0.9,0.02795751434501282,0.00390672689537297,0.004150897326333781,1,0,0,0,0
0.9,0.02795751434501282,0.00390672689537297,0.00390672689537297,1,0,0,0,0
0.9,0.028079599560493225,0.00390672689537297,0.00390672689537297,1,0,0,0,0
0.9,0.028079599560493225,0.004028812110853376,0.004150897326333781,1,0,0,0,0
0.9,0.027835429129532414,0.004150897326333781,0.004150897326333781,1,0,0,0,0
0.9,0.0274691734830912,0.00390672689537297,0.00390672689537297,1,0,0,0,0
0.9,0.02771334391405201,0.00390672689537297,0.003784641679892565,1,0,0,0,0
0.9,0.0274691734830912,0.004150897326333781,0.00390672689537297,1,0,0,0,0
0.9,0.02771334391405201,0.004272982541814186,0.004028812110853376,1,0,0,0,0
0.9,0.028079599560493225,0.003784641679892565,0.004028812110853376,1,0,0,0,0
0.9,0.02795751434501282,0.00390672689537297,0.004028812110853376,1,0,0,0,0
0.9,0.02795751434501282,0.0036625564644121597,0.003784641679892565,1,0,0,0,0
0.9,0.02795751434501282,0.0036625564644121597,0.004272982541814186,1,0,0,0,0
0.9,0.02820168477597363,0.0036625564644121597,0.004150897326333781,1,0,0,0,0
0.9,0.028567940422414846,0.003784641679892565,0.003784641679892565,1,0,0,0,0
0.9,0.028567940422414846,0.0035404712489317544,0.004028812110853376,1,0,0,0,0
0.9,0.028567940422414846,0.003784641679892565,0.00390672689537297,1,0,0,0,0
0.9,0.02844585520693444,0.0035404712489317544,0.00390672689537297,1,0,0,0,0
0.9,0.028812110853375657,0.003784641679892565,0.00390672689537297,1,0,0,0,0
0.9,0.02820168477597363,0.003784641679892565,0.003784641679892565,1,0,0,0,0
0.9,0.028323769991454036,0.0036625564644121597,0.004028812110853376,1,0,0,0,0
0.9,0.0274691734830912,0.0036625564644121597,0.004028812110853376,1,0,0,0,0
0.9,0.027835429129532414,0.004028812110853376,0.00390672689537297,1,0,0,0,0
0.9,0.027591258698571604,0.003784641679892565,0.004028812110853376,1,0,0,0,0
0.9,0.02795751434501282,0.004272982541814186,0.004028812110853376,1,0,0,0,0
0.9,0.0274691734830912,0.004272982541814186,0.004150897326333781,1,0,0,0,0
0.9,0.0274691734830912,0.004028812110853376,0.003784641679892565,1,0,0,0,0
0.9,0.0274691734830912,0.00390672689537297,0.004150897326333781,1,0,0,0,0
0.9,0.0274691734830912,0.0035404712489317544,0.00390672689537297,1,0,0,0,0
0.9,0.027591258698571604,0.003784641679892565,0.00390672689537297,1,0,0,0,0
0.9,0.0274691734830912,0.003784641679892565,0.004028812110853376,1,0,0,0,0
0.9,0.02795751434501282,0.004028812110853376,0.004028812110853376,1,0,0,0,0
0.9,0.028079599560493225,0.004028812110853376,0.004028812110853376,1,0,0,0,0
0.9,0.028079599560493225,0.003784641679892565,0.00390672689537297,1,0,0,0,0
0.9,0.02795751434501282,0.003784641679892565,0.004150897326333781,1,0,0,0,0
