Identifier,value1,value2,value3,g,l,s,m,e,Goodness
0.9,0.026858747,0.003174216,0.003906727,1,0,0,0,0,100
0.9,0.026858747,0.003540471,0.004028812,1,0,0,0,0,100
0.9,0.026858747,0.003662556,0.004150897,1,0,0,0,0,100
0.9,0.027347088,0.003418386,0.004150897,1,0,0,0,0,100
0.9,0.026980833,0.003784642,0.004150897,1,0,0,0,0,100
0.9,0.027225003,0.003784642,0.004028812,1,0,0,0,0,100
0.9,0.026614577,0.003662556,0.004150897,1,0,0,0,0,100
0.9,0.026126236,0.003296301,0.003784642,1,0,0,0,0,100
0.9,0.026126236,0.003418386,0.004028812,1,0,0,0,0,100
0.9,0.026248321,0.003418386,0.003906727,1,0,0,0,0,100
0.9,0.026248321,0.003174216,0.004028812,1,0,0,0,0,100
0.9,0.026614577,0.003174216,0.004028812,1,0,0,0,0,100
0.9,0.026370407,0.003174216,0.004028812,1,0,0,0,0,100
0.9,0.026126236,0.003662556,0.004395068,1,0,0,0,0,100
0.9,0.026126236,0.003296301,0.004272983,1,0,0,0,0,100
0.9,0.026126236,0.003296301,0.004272983,1,0,0,0,0,100
0.9,0.02575998,0.003662556,0.004028812,1,0,0,0,0,100
0.9,0.02527164,0.003418386,0.004639238,1,0,0,0,0,100
0.9,0.025149554,0.003784642,0.004028812,1,0,0,0,0,100
0.9,0.025393725,0.004150897,0.004028812,1,0,0,0,0,100
0.9,0.024783299,0.003906727,0.004028812,1,0,0,0,0,100
0.9,0.025149554,0.004028812,0.004150897,1,0,0,0,0,100
0.9,0.02551581,0.004028812,0.004272983,1,0,0,0,0,100
0.9,0.02551581,0.003662556,0.004150897,1,0,0,0,0,100
0.9,0.02551581,0.003784642,0.004028812,1,0,0,0,0,100
0.9,0.02527164,0.003296301,0.004028812,1,0,0,0,0,100
0.9,0.025637895,0.003784642,0.003784642,1,0,0,0,0,100
0.9,0.02575998,0.003662556,0.004150897,1,0,0,0,0,100
0.9,0.025149554,0.003540471,0.004272983,1,0,0,0,0,100
0.9,0.024661214,0.004150897,0.004028812,1,0,0,0,0,100
0.9,0.025027469,0.004272983,0.004272983,1,0,0,0,0,100
0.9,0.02551581,0.004150897,0.003906727,1,0,0,0,0,100
0.9,0.026248321,0.004150897,0.004028812,1,0,0,0,0,100
0.9,0.026858747,0.003906727,0.004028812,1,0,0,0,0,100
0.9,0.026492492,0.003296301,0.004150897,1,0,0,0,0,100
0.9,0.026004151,0.004028812,0.003906727,1,0,0,0,0,100
0.9,0.026126236,0.003296301,0.003906727,1,0,0,0,0,100
0.9,0.026248321,0.003784642,0.004150897,1,0,0,0,0,100
0.9,0.026492492,0.003662556,0.003906727,1,0,0,0,0,100
0.9,0.026614577,0.003418386,0.004028812,1,0,0,0,0,100
0.9,0.027713344,0.003662556,0.004272983,1,0,0,0,0,100
