LEFT,RIGHT,g
16806,14604,1
16786,14576,1
16782,14574,1
16784,14573,1
16781,14572,1
16784,14573,1
16782,14573,1
16781,14573,1
16784,14573,1
16782,14574,1
16784,14573,1
16787,14581,1
16785,14574,1
16784,14571,1
16783,14578,1
16786,14577,1
16799,14601,1
16786,14575,1
16785,14575,1
16783,14581,1
16785,14577,1
16782,14575,1
16785,14576,1
16787,14576,1
16781,14576,1
16782,14575,1
16781,14572,1
16781,14573,1
16786,14570,1
16786,14570,1
16782,14573,1
16779,14570,1
16782,14575,1
16781,14574,1
16777,14568,1
16778,14570,1
16780,14572,1
16779,14572,1
16779,14573,1
16781,14572,1
16778,14568,1
16777,14567,1
16777,14569,1
16777,14570,1
16778,14567,1
16780,14570,1
16782,14574,1
16782,14573,1
16778,14568,1
16781,14571,1
16777,14569,1
16835,14605,1
16780,14569,1
16777,14568,1
16782,14571,1
16777,14570,1
16777,14568,1
16777,14567,1
16779,14573,1
16781,14573,1
16781,14575,1
16781,14572,1
16777,14567,1
16780,14570,1
16777,14567,1
16781,14572,1
16778,14566,1
16779,14570,1
16780,14568,1
16775,14568,1
16777,14567,1
16781,14573,1
16778,14569,1
16777,14569,1
16777,14566,1
16781,14574,1
16781,14573,1
16780,14569,1
16781,14572,1
16781,14570,1
16777,14566,1
16779,14569,1
16779,14570,1
16781,14574,1
16780,14568,1
16777,14566,1
16781,14568,1
16780,14566,1
16778,14566,1
16776,14565,1
16776,14561,1
16778,14564,1
16778,14566,1
16776,14568,1
16780,14566,1
16780,14568,1
16779,14568,1
16782,14570,1
16780,14566,1
16779,14567,1
16780,14567,1
16779,14568,1
16841,14609,1
16781,14569,1
16777,14566,1
16779,14571,1
16778,14564,1
16780,14566,1
16781,14572,1
16780,14568,1
16778,14570,1
16780,14585,1
16781,14570,1
16781,14570,1
16780,14567,1
16781,14573,1
16780,14565,1
16783,14572,1
16779,14569,1
16784,14567,1
16781,14568,1
16780,14567,1
16780,14566,1
16779,14569,1
16780,14568,1
16781,14570,1
16783,14576,1
16780,14568,1
16782,14569,1
16783,14572,1
16780,14565,1
16779,14568,1
16784,14567,1
16780,14565,1
16782,14569,1
16779,14566,1
16782,14568,1
16779,14566,1
16784,14566,1
16783,14569,1
16783,14570,1
16783,14569,1
16781,14570,1
16785,14566,1
16780,14562,1
16783,14568,1
16781,14563,1
16779,14563,1
16784,14563,1
16783,14567,1
16780,14563,1
16784,14564,1
16784,14564,1
16837,14603,1
16778,14566,1
16781,14568,1
16778,14563,1
16782,14566,1
16780,14566,1
16782,14565,1
16783,14571,1
16782,14566,1
16780,14562,1
16779,14562,1
16783,14567,1
16783,14566,1
16780,14564,1
16780,14562,1
16783,14566,1
16780,14559,1
16784,14563,1
16780,14563,1
16779,14563,1
16782,14566,1
16782,14566,1
16780,14564,1
16781,14565,1
16778,14563,1
16783,14568,1
16781,14566,1
16784,14563,1
16783,14568,1
16783,14566,1
16784,14562,1
16783,14566,1
16783,14566,1
16782,14563,1
16781,14565,1
16783,14569,1
16779,14563,1
16781,14565,1
16779,14563,1
16785,14569,1
16782,14569,1
16783,14567,1
16784,14562,1
16781,14566,1
16782,14565,1
16784,14564,1
16782,14565,1
16781,14566,1
16782,14564,1
16780,14564,1
16781,14567,1
16837,14600,1
16782,14568,1
16781,14568,1
16781,14568,1
16779,14567,1
16779,14567,1
16778,14562,1
16779,14564,1
16783,14570,1
16781,14570,1
16783,14571,1
16782,14568,1
16779,14567,1
16782,14568,1
16778,14563,1
16780,14566,1
16781,14568,1
16782,14569,1
16780,14565,1
16783,14571,1
16781,14570,1
16779,14568,1
16779,14566,1
16783,14571,1
16782,14567,1
16783,14569,1
16783,14570,1
16779,14565,1
16782,14568,1
16784,14566,1
16782,14570,1
16783,14572,1
16781,14568,1
16780,14566,1
16781,14572,1
16781,14568,1
16778,14563,1
16781,14569,1
16778,14565,1
16782,14568,1
16778,14564,1
16777,14565,1
16779,14567,1
16777,14562,1
16779,14566,1
16779,14569,1
16783,14570,1
16779,14565,1
16780,14563,1
16781,14564,1
16783,14568,1
16841,14603,1
16783,14593,1
16780,14563,1
16777,14561,1
16781,14564,1
16777,14558,1
16781,14564,1
16780,14562,1
16779,14562,1
16782,14565,1
16782,14564,1
16778,14560,1
16782,14563,1
16777,14559,1
16778,14559,1
16780,14561,1
16782,14564,1
16779,14563,1
16782,14566,1
16778,14561,1
16776,14558,1
16780,14566,1
16776,14560,1
16777,14557,1
16776,14561,1
16778,14557,1
16779,14564,1
16776,14558,1
16777,14559,1
16779,14562,1
16783,14564,1
16778,14558,1
16782,14562,1
16783,14567,1
16779,14561,1
16783,14564,1
16778,14555,1
16779,14561,1
16780,14557,1
16780,14560,1
16778,14558,1
16777,14561,1
16779,14563,1
16779,14561,1
16778,14557,1
16782,14562,1
16780,14560,1
16781,14561,1
16781,14559,1
16778,14558,1
16780,14559,1
16839,14596,1
16779,14557,1
16782,14561,1
16782,14561,1
16779,14558,1
16783,14561,1
16779,14557,1
16778,14557,1
16777,14553,1
16783,14562,1
16781,14560,1
16780,14558,1
16779,14560,1
16783,14563,1
16779,14559,1
16779,14560,1
16782,14562,1
16778,14555,1
16779,14560,1
16781,14563,1
16783,14567,1
16782,14561,1
16778,14558,1
16781,14564,1
16780,14560,1
16779,14560,1
16779,14558,1
16778,14557,1
16781,14561,1
16782,14563,1
16782,14564,1
16778,14560,1
16778,14556,1
16779,14558,1
16783,14562,1
16780,14557,1
16782,14561,1
16787,14562,1
16778,14551,1
16776,14553,1
16780,14556,1
16779,14554,1
16776,14548,1
16774,14550,1
16774,14552,1
16776,14548,1
16778,14549,1
16781,14557,1
16781,14559,1
16779,14558,1
16784,14557,1
